5 Minutes,Lane 1 Flow (Veh/5 Minutes),% Observed
2/01/2015 0:00,11,100
2/01/2015 0:05,9,100
2/01/2015 0:10,11,100
2/01/2015 0:15,14,100
2/01/2015 0:20,12,100
2/01/2015 0:25,14,100
2/01/2015 0:30,6,100
2/01/2015 0:35,4,100
2/01/2015 0:40,6,100
2/01/2015 0:45,14,100
2/01/2015 0:50,13,100
2/01/2015 0:55,11,100
2/01/2015 1:00,10,100
2/01/2015 1:05,10,100
2/01/2015 1:10,0,0
2/01/2015 1:15,0,0
2/01/2015 1:20,7,100
2/01/2015 1:25,15,100
2/01/2015 1:30,0,0
2/01/2015 1:35,0,0
2/01/2015 1:40,0,0
2/01/2015 1:45,20,100
2/01/2015 1:50,0,0
2/01/2015 1:55,15,100
2/01/2015 2:00,5,100
2/01/2015 2:05,8,100
2/01/2015 2:10,9,100
2/01/2015 2:15,14,100
2/01/2015 2:20,9,100
2/01/2015 2:25,12,100
2/01/2015 2:30,9,100
2/01/2015 2:35,12,100
2/01/2015 2:40,7,100
2/01/2015 2:45,5,100
2/01/2015 2:50,1,100
2/01/2015 2:55,9,100
2/01/2015 3:00,4,100
2/01/2015 3:05,9,100
2/01/2015 3:10,2,100
2/01/2015 3:15,4,100
2/01/2015 3:20,4,100
2/01/2015 3:25,2,100
2/01/2015 3:30,5,100
2/01/2015 3:35,5,100
2/01/2015 3:40,7,100
2/01/2015 3:45,3,100
2/01/2015 3:50,5,100
2/01/2015 3:55,3,100
2/01/2015 4:00,4,100
2/01/2015 4:05,1,100
2/01/2015 4:10,4,100
2/01/2015 4:15,5,100
2/01/2015 4:20,2,100
2/01/2015 4:25,7,100
2/01/2015 4:30,10,100
2/01/2015 4:35,5,100
2/01/2015 4:40,5,100
2/01/2015 4:45,5,100
2/01/2015 4:50,12,100
2/01/2015 4:55,5,100
2/01/2015 5:00,6,100
2/01/2015 5:05,9,100
2/01/2015 5:10,2,100
2/01/2015 5:15,5,100
2/01/2015 5:20,11,100
2/01/2015 5:25,10,100
2/01/2015 5:30,9,100
2/01/2015 5:35,8,100
2/01/2015 5:40,8,100
2/01/2015 5:45,10,100
2/01/2015 5:50,6,100
2/01/2015 5:55,6,100
2/01/2015 6:00,10,100
2/01/2015 6:05,7,100
2/01/2015 6:10,9,100
2/01/2015 6:15,16,100
2/01/2015 6:20,8,100
2/01/2015 6:25,6,100
2/01/2015 6:30,8,100
2/01/2015 6:35,9,100
2/01/2015 6:40,15,100
2/01/2015 6:45,19,100
2/01/2015 6:50,21,100
2/01/2015 6:55,22,100
2/01/2015 7:00,9,100
2/01/2015 7:05,15,100
2/01/2015 7:10,12,100
2/01/2015 7:15,6,100
2/01/2015 7:20,10,100
2/01/2015 7:25,9,100
2/01/2015 7:30,13,100
2/01/2015 7:35,10,100
2/01/2015 7:40,18,100
2/01/2015 7:45,11,100
2/01/2015 7:50,13,100
2/01/2015 7:55,14,100
2/01/2015 8:00,0,0
2/01/2015 8:05,0,0
2/01/2015 8:10,0,0
2/01/2015 8:15,0,0
2/01/2015 8:20,0,0
2/01/2015 8:25,0,0
2/01/2015 8:30,0,0
2/01/2015 8:35,0,0
2/01/2015 8:40,0,0
2/01/2015 8:45,0,0
2/01/2015 8:50,0,0
2/01/2015 8:55,0,0
2/01/2015 9:00,0,0
2/01/2015 9:05,0,0
2/01/2015 9:10,0,0
2/01/2015 9:15,0,0
2/01/2015 9:20,0,0
2/01/2015 9:25,0,0
2/01/2015 9:30,0,0
2/01/2015 9:35,0,0
2/01/2015 9:40,0,0
2/01/2015 9:45,0,0
2/01/2015 9:50,0,0
2/01/2015 9:55,0,0
2/01/2015 10:00,0,0
2/01/2015 10:05,0,0
2/01/2015 10:10,0,0
2/01/2015 10:15,0,0
2/01/2015 10:20,0,0
2/01/2015 10:25,43,100
2/01/2015 10:30,16,100
2/01/2015 10:35,18,100
2/01/2015 10:40,35,100
2/01/2015 10:45,35,100
2/01/2015 10:50,30,100
2/01/2015 10:55,25,100
2/01/2015 11:00,32,100
2/01/2015 11:05,34,100
2/01/2015 11:10,28,100
2/01/2015 11:15,22,100
2/01/2015 11:20,29,100
2/01/2015 11:25,26,100
2/01/2015 11:30,27,100
2/01/2015 11:35,30,100
2/01/2015 11:40,34,100
2/01/2015 11:45,33,100
2/01/2015 11:50,35,100
2/01/2015 11:55,31,100
2/01/2015 12:00,30,100
2/01/2015 12:05,28,100
2/01/2015 12:10,26,100
2/01/2015 12:15,30,100
2/01/2015 12:20,36,100
2/01/2015 12:25,36,100
2/01/2015 12:30,24,100
2/01/2015 12:35,26,100
2/01/2015 12:40,40,100
2/01/2015 12:45,19,100
2/01/2015 12:50,25,100
2/01/2015 12:55,25,100
2/01/2015 13:00,17,100
2/01/2015 13:05,26,100
2/01/2015 13:10,26,100
2/01/2015 13:15,25,100
2/01/2015 13:20,20,100
2/01/2015 13:25,0,0
2/01/2015 13:30,0,0
2/01/2015 13:35,0,0
2/01/2015 13:40,0,0
2/01/2015 13:45,0,0
2/01/2015 13:50,40,100
2/01/2015 13:55,17,100
2/01/2015 14:00,32,100
2/01/2015 14:05,27,100
2/01/2015 14:10,24,100
2/01/2015 14:15,11,100
2/01/2015 14:20,23,100
2/01/2015 14:25,20,100
2/01/2015 14:30,24,100
2/01/2015 14:35,13,100
2/01/2015 14:40,17,100
2/01/2015 14:45,20,100
2/01/2015 14:50,27,100
2/01/2015 14:55,15,100
2/01/2015 15:00,20,100
2/01/2015 15:05,10,100
2/01/2015 15:10,16,100
2/01/2015 15:15,9,100
2/01/2015 15:20,21,100
2/01/2015 15:25,20,100
2/01/2015 15:30,18,100
2/01/2015 15:35,19,100
2/01/2015 15:40,20,100
2/01/2015 15:45,18,100
2/01/2015 15:50,13,100
2/01/2015 15:55,21,100
2/01/2015 16:00,5,100
2/01/2015 16:05,21,100
2/01/2015 16:10,19,100
2/01/2015 16:15,19,100
2/01/2015 16:20,11,100
2/01/2015 16:25,23,100
2/01/2015 16:30,30,100
2/01/2015 16:35,16,100
2/01/2015 16:40,28,100
2/01/2015 16:45,15,100
2/01/2015 16:50,17,100
2/01/2015 16:55,17,100
2/01/2015 17:00,12,100
2/01/2015 17:05,11,100
2/01/2015 17:10,16,100
2/01/2015 17:15,10,100
2/01/2015 17:20,16,100
2/01/2015 17:25,12,100
2/01/2015 17:30,16,100
2/01/2015 17:35,9,100
2/01/2015 17:40,16,100
2/01/2015 17:45,15,100
2/01/2015 17:50,9,100
2/01/2015 17:55,7,100
2/01/2015 18:00,12,100
2/01/2015 18:05,15,100
2/01/2015 18:10,12,100
2/01/2015 18:15,10,100
2/01/2015 18:20,11,100
2/01/2015 18:25,18,100
2/01/2015 18:30,11,100
2/01/2015 18:35,6,100
2/01/2015 18:40,16,100
2/01/2015 18:45,12,100
2/01/2015 18:50,9,100
2/01/2015 18:55,19,100
2/01/2015 19:00,2,100
2/01/2015 19:05,9,100
2/01/2015 19:10,13,100
2/01/2015 19:15,10,100
2/01/2015 19:20,8,100
2/01/2015 19:25,18,100
2/01/2015 19:30,18,100
2/01/2015 19:35,17,100
2/01/2015 19:40,14,100
2/01/2015 19:45,12,100
2/01/2015 19:50,10,100
2/01/2015 19:55,28,100
2/01/2015 20:00,18,100
2/01/2015 20:05,18,100
2/01/2015 20:10,19,100
2/01/2015 20:15,16,100
2/01/2015 20:20,20,100
2/01/2015 20:25,19,100
2/01/2015 20:30,7,100
2/01/2015 20:35,10,100
2/01/2015 20:40,25,100
2/01/2015 20:45,0,0
2/01/2015 20:50,10,100
2/01/2015 20:55,15,100
2/01/2015 21:00,11,100
2/01/2015 21:05,14,100
2/01/2015 21:10,12,100
2/01/2015 21:15,16,100
2/01/2015 21:20,16,100
2/01/2015 21:25,9,100
2/01/2015 21:30,10,100
2/01/2015 21:35,16,100
2/01/2015 21:40,3,100
2/01/2015 21:45,20,100
2/01/2015 21:50,27,100
2/01/2015 21:55,19,100
2/01/2015 22:00,9,100
2/01/2015 22:05,10,100
2/01/2015 22:10,7,100
2/01/2015 22:15,11,100
2/01/2015 22:20,10,100
2/01/2015 22:25,12,100
2/01/2015 22:30,18,100
2/01/2015 22:35,14,100
2/01/2015 22:40,6,100
2/01/2015 22:45,6,100
2/01/2015 22:50,9,100
2/01/2015 22:55,7,100
2/01/2015 23:00,14,100
2/01/2015 23:05,9,100
2/01/2015 23:10,13,100
2/01/2015 23:15,2,100
