5 Minutes,Lane 1 Flow (Veh/5 Minutes),% Observed
2/01/2015 0:00,69,100
2/01/2015 0:05,48,100
2/01/2015 0:10,65,100
2/01/2015 0:15,59,100
2/01/2015 0:20,50,100
2/01/2015 0:25,42,100
2/01/2015 0:30,39,100
2/01/2015 0:35,54,100
2/01/2015 0:40,52,100
2/01/2015 0:45,44,100
2/01/2015 0:50,50,100
2/01/2015 0:55,40,100
2/01/2015 1:00,32,100
2/01/2015 1:05,47,100
2/01/2015 1:10,0,0
2/01/2015 1:15,0,0
2/01/2015 1:20,50,100
2/01/2015 1:25,45,100
2/01/2015 1:30,0,0
2/01/2015 1:35,0,0
2/01/2015 1:40,0,0
2/01/2015 1:45,40,100
2/01/2015 1:50,0,0
2/01/2015 1:55,49,100
2/01/2015 2:00,51,100
2/01/2015 2:05,36,100
2/01/2015 2:10,58,100
2/01/2015 2:15,48,100
2/01/2015 2:20,53,100
2/01/2015 2:25,57,100
2/01/2015 2:30,37,100
2/01/2015 2:35,29,100
2/01/2015 2:40,34,100
2/01/2015 2:45,32,100
2/01/2015 2:50,34,100
2/01/2015 2:55,34,100
2/01/2015 3:00,30,100
2/01/2015 3:05,32,100
2/01/2015 3:10,24,100
2/01/2015 3:15,27,100
2/01/2015 3:20,31,100
2/01/2015 3:25,21,100
2/01/2015 3:30,25,100
2/01/2015 3:35,26,100
2/01/2015 3:40,15,100
2/01/2015 3:45,23,100
2/01/2015 3:50,6,100
2/01/2015 3:55,22,100
2/01/2015 4:00,12,100
2/01/2015 4:05,13,100
2/01/2015 4:10,12,100
2/01/2015 4:15,11,100
2/01/2015 4:20,22,100
2/01/2015 4:25,12,100
2/01/2015 4:30,19,100
2/01/2015 4:35,16,100
2/01/2015 4:40,12,100
2/01/2015 4:45,13,100
2/01/2015 4:50,20,100
2/01/2015 4:55,10,100
2/01/2015 5:00,14,100
2/01/2015 5:05,11,100
2/01/2015 5:10,16,100
2/01/2015 5:15,12,100
2/01/2015 5:20,15,100
2/01/2015 5:25,13,100
2/01/2015 5:30,19,100
2/01/2015 5:35,10,100
2/01/2015 5:40,15,100
2/01/2015 5:45,16,100
2/01/2015 5:50,11,100
2/01/2015 5:55,21,100
2/01/2015 6:00,24,100
2/01/2015 6:05,20,100
2/01/2015 6:10,16,100
2/01/2015 6:15,22,100
2/01/2015 6:20,16,100
2/01/2015 6:25,16,100
2/01/2015 6:30,21,100
2/01/2015 6:35,18,100
2/01/2015 6:40,31,100
2/01/2015 6:45,26,100
2/01/2015 6:50,18,100
2/01/2015 6:55,30,100
2/01/2015 7:00,38,100
2/01/2015 7:05,28,100
2/01/2015 7:10,33,100
2/01/2015 7:15,42,100
2/01/2015 7:20,42,100
2/01/2015 7:25,28,100
2/01/2015 7:30,54,100
2/01/2015 7:35,26,100
2/01/2015 7:40,42,100
2/01/2015 7:45,50,100
2/01/2015 7:50,28,100
